[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,15:46:25
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOn_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.006694,15:46:56,34.32,34.62,34.04,34.04,34.02,34.04,34.02,34.04,34.04,34.05,34.00,34.19,34.00,34.21,34.00,33.99,34.02,34.03,33.98,25.41,34.03,33.99,25.85,34.01,34.00,33.99,34.01,34.00,34.00,33.99,34.03,34.00,34.03,34.03,383.9,155.5,239.1,232.2,241.5,225.9,227.3,260.0,229.7,279.5,407.0,432.5,201.3,188.3,266.5,117.7,196.2,159.0,110.5,0.0,229.7,85.2,0.0,225.5,211.5,239.5,225.9,237.7,295.3,201.0,307.5,211.6,287.4,295.5,9.24,9.26,9.23,44.1,0.0,0.00,0.00,0.00,0.00,,
60.0223333,15:47:26,34.37,34.73,34.06,34.04,34.03,34.04,34.05,34.01,34.01,34.02,34.08,33.99,34.00,34.29,34.03,34.01,34.02,34.05,34.03,25.43,33.99,33.99,25.86,34.01,33.99,34.00,34.00,34.02,34.01,33.99,34.02,34.00,34.01,34.00,366.2,125.2,237.7,232.0,240.1,223.0,224.2,261.9,235.4,286.2,396.8,467.8,204.0,172.1,266.0,114.2,194.0,157.0,109.2,0.0,233.8,85.0,0.0,225.1,210.3,238.9,226.9,234.4,305.5,203.8,306.7,209.6,286.5,297.0,9.28,9.29,9.28,43.8,0.0,0.00,0.00,0.00,0.00,,
90.0354826,15:47:56,34.36,34.76,34.07,34.04,34.02,34.05,34.04,34.00,34.00,33.99,34.06,33.94,34.00,34.27,34.04,34.02,34.01,34.05,33.99,25.44,34.01,34.01,25.88,34.01,34.05,34.00,34.02,34.01,33.96,34.02,34.02,34.01,34.00,34.02,358.5,103.8,233.9,230.9,240.3,222.2,223.0,264.6,237.4,287.6,397.3,480.7,203.2,165.3,261.9,112.6,194.1,156.3,111.8,0.0,233.8,84.8,0.0,222.8,218.5,237.5,224.8,234.1,299.1,203.3,305.9,210.6,289.6,299.4,9.32,9.32,9.33,44.0,0.0,0.00,0.00,0.00,0.00,,
120.050619,15:48:26,34.37,34.75,34.06,34.04,34.03,34.04,34.05,34.01,34.01,34.01,34.07,33.97,34.01,34.25,34.05,34.03,34.00,34.03,34.00,25.49,34.00,34.01,25.88,34.01,34.01,34.03,34.02,34.02,34.04,34.00,34.03,34.01,34.00,34.00,350.4,89.5,233.2,230.0,238.2,222.6,221.4,262.9,235.6,287.8,393.5,478.9,202.6,164.9,260.5,111.4,197.2,156.7,109.4,0.0,235.2,82.9,0.0,223.0,219.6,232.7,224.7,233.4,302.5,200.8,305.7,207.4,291.9,298.3,9.35,9.34,9.37,43.8,0.0,0.00,0.00,0.00,0.00,,
150.0647765,15:48:56,34.33,34.70,34.06,34.02,34.03,34.04,34.04,33.99,34.01,34.01,34.04,33.99,34.01,34.23,34.03,34.02,34.01,34.03,34.01,25.45,34.00,34.01,25.89,34.02,33.98,34.03,34.01,34.01,34.02,34.04,34.01,34.02,34.01,34.01,347.0,78.3,232.9,231.2,238.5,221.0,220.8,266.2,234.9,286.7,398.4,480.4,202.1,162.1,259.2,110.9,195.6,157.4,106.7,0.0,235.0,84.1,0.0,222.7,220.4,232.6,225.4,234.1,304.0,200.8,305.7,206.0,291.3,295.3,9.37,9.34,9.39,44.0,0.0,0.00,0.00,0.00,0.00,,
180.0804555,15:49:26,34.29,34.65,34.05,34.03,34.03,34.03,34.04,34.01,34.00,34.01,34.06,33.96,34.00,34.21,34.04,34.03,34.01,34.03,34.01,25.48,34.00,34.01,25.90,34.01,34.00,34.03,34.01,34.03,34.00,34.01,34.02,34.02,34.06,34.00,344.7,70.5,232.5,230.1,238.7,221.8,220.2,264.0,238.0,286.6,394.5,487.0,203.6,159.7,258.1,109.5,195.4,158.1,108.8,0.0,231.6,82.3,0.0,223.2,219.5,235.5,225.9,231.1,301.5,200.1,301.8,206.0,291.6,297.2,9.39,9.37,9.42,43.8,0.0,0.00,0.00,0.00,0.00,,
210.0955961,15:49:56,34.26,34.59,34.04,34.02,34.02,34.02,34.04,34.00,34.00,34.01,34.04,33.99,34.01,34.17,34.04,34.03,34.01,34.04,34.02,25.52,34.01,34.00,25.91,34.01,34.00,33.99,34.01,34.03,34.04,34.03,34.02,34.02,34.03,34.01,342.7,66.2,232.0,231.2,238.9,221.3,220.3,264.3,236.6,286.8,395.4,481.8,201.4,160.0,258.8,108.9,194.0,155.9,110.4,0.0,231.7,83.4,0.0,221.3,225.0,230.0,225.2,229.3,291.8,204.8,303.0,204.9,297.6,297.6,9.41,9.38,9.45,43.7,0.0,0.00,0.00,0.00,0.00,,
240.109216,15:50:26,34.25,34.52,34.03,34.02,34.02,34.03,34.03,34.00,34.02,34.03,34.01,34.02,33.99,34.16,34.00,34.04,34.00,34.03,33.98,25.49,34.01,34.01,25.92,34.02,34.04,34.02,34.02,34.02,34.02,34.03,34.04,34.01,34.01,34.01,339.5,63.7,232.7,230.1,236.9,220.8,220.4,264.7,233.9,283.8,401.4,474.6,204.1,159.4,262.8,105.8,193.3,156.7,108.4,0.0,232.8,82.5,0.0,221.3,218.1,238.8,225.5,229.2,300.2,201.7,301.3,203.8,290.8,297.3,9.43,9.38,9.48,43.9,0.0,0.00,0.00,0.00,0.00,,
270.1233785,15:50:56,34.18,34.47,34.03,34.02,34.01,34.03,34.04,34.00,34.00,34.01,34.03,34.00,34.01,34.14,34.02,34.03,34.01,34.03,34.00,25.53,34.01,34.02,25.94,34.01,34.03,34.02,34.00,34.03,34.02,34.05,34.03,34.01,33.99,34.02,342.1,60.3,232.0,229.8,237.5,220.0,218.5,264.7,234.3,286.3,396.6,478.2,201.2,158.0,260.1,107.3,193.7,156.9,105.8,0.0,232.9,79.5,0.0,221.3,217.1,233.3,224.8,229.3,301.5,201.2,303.4,203.3,287.2,295.7,9.44,9.39,9.49,43.6,0.0,0.00,0.00,0.00,0.00,,
