[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,16:38:31
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\MidCurv_RadOn_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0052181,16:39:01,32.85,33.68,33.42,33.58,33.42,33.45,33.47,33.40,33.49,33.28,32.98,32.20,33.53,33.28,33.32,33.62,33.58,33.61,33.56,25.29,33.61,33.77,26.23,33.63,33.45,33.36,33.47,33.38,33.49,33.48,33.49,33.42,33.53,33.56,579.0,101.2,328.3,306.6,351.9,306.1,313.3,376.2,320.6,401.0,632.9,832.0,295.8,293.7,375.8,169.6,270.4,193.7,172.9,0.0,295.9,122.7,0.0,274.9,322.0,352.6,315.5,343.1,378.8,310.7,414.0,303.1,361.3,364.8,9.70,9.74,9.67,42.9,0.0,0.00,0.00,0.00,0.00,,
60.0193722,16:39:31,32.87,33.66,33.41,33.57,33.41,33.43,33.44,33.37,33.48,33.25,33.02,32.37,33.53,33.32,33.32,33.60,33.56,33.53,33.54,25.07,33.64,33.75,26.12,33.60,33.44,33.37,33.43,33.37,33.51,33.48,33.51,33.45,33.56,33.55,602.8,110.8,341.6,313.2,368.8,320.2,329.3,390.2,331.3,422.1,652.0,853.7,309.4,306.8,388.1,178.9,283.1,208.7,183.5,0.0,302.6,129.7,0.0,284.7,332.0,364.7,331.8,360.8,390.6,308.5,415.7,313.0,366.7,377.9,9.77,9.83,9.71,42.4,0.0,0.00,0.00,0.00,0.00,,
90.0330227,16:40:01,32.96,33.66,33.42,33.59,33.42,33.46,33.46,33.38,33.50,33.26,33.12,32.62,33.54,33.38,33.36,33.62,33.57,33.48,33.57,24.87,33.60,33.75,26.02,33.60,33.45,33.36,33.45,33.38,33.55,33.50,33.52,33.49,33.49,33.54,618.4,120.0,350.6,318.4,379.7,329.1,339.4,401.0,339.8,433.3,655.7,846.2,319.9,312.1,396.0,184.5,291.8,221.0,198.7,0.0,309.7,134.3,0.0,294.8,343.5,380.5,343.2,373.7,406.6,315.7,423.8,318.5,376.3,385.9,9.80,9.88,9.73,42.2,0.0,0.00,0.00,0.00,0.00,,
120.0471825,16:40:31,33.01,33.69,33.45,33.61,33.46,33.48,33.49,33.42,33.52,33.30,33.24,32.81,33.58,33.44,33.39,33.65,33.60,33.48,33.63,24.74,33.60,33.77,25.91,33.61,33.47,33.40,33.46,33.42,33.54,33.59,33.56,33.53,33.57,33.56,633.4,122.9,357.6,323.2,385.3,337.1,346.7,407.3,348.6,444.3,654.3,850.1,325.2,313.5,403.5,189.2,299.7,231.0,198.9,0.0,315.7,138.3,0.0,301.8,349.6,379.9,354.1,380.5,409.9,315.9,429.1,324.7,385.6,390.3,9.81,9.88,9.74,42.0,0.0,0.00,0.00,0.00,0.00,,
150.0638463,16:41:01,33.11,33.71,33.50,33.64,33.52,33.51,33.54,33.47,33.56,33.33,33.33,32.94,33.61,33.50,33.46,33.65,33.63,33.48,33.63,24.55,33.65,33.78,25.84,33.62,33.54,33.45,33.50,33.47,33.56,33.62,33.60,33.57,33.60,33.57,640.2,124.8,362.4,327.9,388.9,342.2,350.7,411.0,352.7,454.8,655.4,854.8,328.9,313.4,406.0,195.8,304.7,238.5,202.7,0.0,324.1,140.3,0.0,307.1,350.4,384.7,360.2,387.2,416.5,320.3,435.8,327.0,386.7,399.1,9.81,9.90,9.72,41.8,0.0,0.00,0.00,0.00,0.00,,
180.0764885,16:41:31,33.20,33.74,33.55,33.67,33.56,33.55,33.57,33.50,33.60,33.38,33.40,33.05,33.64,33.56,33.51,33.68,33.67,33.50,33.62,24.35,33.65,33.80,25.74,33.64,33.60,33.54,33.54,33.52,33.61,33.64,33.62,33.62,33.61,33.62,648.1,127.2,364.6,330.8,392.0,346.4,355.2,414.5,358.0,461.7,658.9,861.8,329.3,313.7,408.1,199.8,307.0,242.8,209.2,0.0,326.1,142.8,0.0,312.1,362.7,391.5,364.9,390.6,422.7,319.4,438.4,329.1,394.1,402.2,9.77,9.87,9.64,41.9,0.0,0.00,0.00,0.00,0.00,,
210.0911899,16:42:01,33.32,33.77,33.59,33.71,33.60,33.60,33.61,33.55,33.63,33.45,33.47,33.19,33.68,33.62,33.56,33.72,33.70,33.52,33.69,24.23,33.65,33.81,25.66,33.67,33.69,33.54,33.58,33.56,33.66,33.70,33.66,33.67,33.64,33.66,645.6,129.2,368.9,334.2,395.4,350.6,360.6,420.6,360.4,465.2,658.7,864.4,331.7,314.2,410.7,200.1,309.4,246.6,214.3,0.0,331.7,144.0,0.0,316.8,355.3,396.1,368.4,393.2,430.1,318.4,439.8,330.5,387.6,406.1,9.69,9.81,9.54,42.1,0.0,0.00,0.00,0.00,0.00,,
240.1068731,16:42:31,33.38,33.79,33.64,33.72,33.64,33.63,33.65,33.59,33.67,33.49,33.53,33.28,33.72,33.66,33.60,33.75,33.71,33.56,33.73,24.09,33.68,33.83,25.57,33.69,33.59,33.60,33.62,33.60,33.69,33.74,33.69,33.72,33.69,33.67,649.3,131.0,370.1,336.5,399.8,352.5,363.1,421.1,363.8,470.7,660.3,867.0,333.0,315.5,413.4,201.6,315.4,251.9,214.9,0.0,333.0,146.8,0.0,320.4,364.2,400.6,371.7,396.3,426.3,323.3,443.8,331.4,398.0,409.6,9.58,9.73,9.40,42.2,0.0,0.00,0.00,0.00,0.00,,
270.1205773,16:43:01,33.42,33.80,33.68,33.74,33.68,33.68,33.68,33.63,33.72,33.55,33.56,33.38,33.75,33.70,33.63,33.77,33.74,33.59,33.73,23.88,33.68,33.86,25.48,33.71,33.67,33.64,33.66,33.64,33.74,33.75,33.73,33.76,33.72,33.71,656.4,133.5,373.7,338.6,399.6,354.1,365.1,421.4,363.5,472.9,665.2,866.5,336.5,315.5,417.4,202.1,317.3,252.0,217.6,0.0,335.4,145.4,0.0,323.2,366.0,402.9,374.6,397.3,426.3,319.9,445.7,331.4,400.3,411.7,9.47,9.63,9.29,42.3,0.0,0.00,0.00,0.00,0.00,,
