[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,11:39:37
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOff_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0224399,11:40:07,37.95,37.21,37.94,37.96,37.96,37.95,37.95,37.98,37.98,37.97,37.90,37.95,37.95,37.49,37.96,37.97,37.99,37.98,38.00,36.38,38.00,38.00,36.41,37.99,37.98,37.99,37.98,38.00,38.03,37.99,37.97,37.98,37.96,37.97,433.5,289.2,271.8,274.9,271.0,272.9,285.4,300.0,273.7,332.4,463.9,501.0,218.3,271.5,291.9,135.9,236.9,150.8,90.9,183.1,256.7,74.6,178.0,243.1,258.4,250.8,252.2,251.8,349.5,283.2,351.2,305.6,352.7,352.0,2.08,1.55,2.59,46.6,0.0,0.00,0.00,0.00,0.00,,
60.0377646,11:40:37,37.98,37.25,37.95,37.95,37.93,37.95,37.92,37.98,37.97,37.98,37.93,37.95,37.94,37.51,38.00,37.96,37.99,37.99,38.00,36.45,37.96,37.99,36.50,37.99,37.99,38.02,38.00,38.00,38.00,37.97,38.00,37.99,38.00,37.99,428.3,300.7,273.0,277.7,275.8,275.4,290.7,301.9,275.3,331.2,461.6,499.6,218.1,278.3,287.9,137.6,238.3,151.7,88.6,162.6,259.1,76.9,155.7,244.3,253.6,248.8,249.5,250.9,350.2,281.6,349.7,308.7,356.2,350.5,1.99,1.52,2.44,46.6,0.0,0.00,0.00,0.00,0.00,,
90.0526566,11:41:07,37.95,37.31,37.96,37.98,37.97,37.97,37.97,38.00,37.98,38.01,37.98,38.00,37.96,37.57,37.99,37.97,38.01,37.98,38.02,36.43,37.99,38.00,36.51,37.99,37.96,38.00,37.98,37.99,38.00,37.97,38.01,38.00,38.00,38.00,434.3,304.8,270.9,273.7,273.7,274.1,285.0,301.6,272.8,327.3,453.0,494.0,219.5,282.2,287.2,135.1,233.9,152.5,90.2,151.7,259.3,76.5,140.4,244.4,254.7,247.2,252.6,252.8,349.1,285.3,346.4,304.2,351.3,352.6,1.91,1.49,2.31,46.8,0.0,0.00,0.00,0.00,0.00,,
120.066051,11:41:37,37.97,37.37,37.98,37.96,37.97,37.97,37.97,37.99,37.98,38.01,37.98,38.01,37.95,37.63,37.98,37.96,38.00,37.98,38.02,36.42,38.01,38.00,36.49,37.99,38.00,37.99,37.99,37.99,38.01,37.99,38.01,38.01,37.98,37.97,431.3,314.7,269.8,278.2,273.7,273.9,285.4,300.8,273.1,326.3,451.9,488.4,219.6,283.6,289.3,137.3,235.4,151.3,89.0,143.9,257.3,74.0,130.8,244.1,255.7,250.0,252.1,254.1,342.7,290.5,342.1,304.1,359.6,355.8,1.85,1.48,2.19,46.9,0.0,0.00,0.00,0.00,0.00,,
150.0813533,11:42:07,37.94,37.43,37.97,37.95,37.97,37.97,37.97,37.99,37.96,37.99,37.96,37.95,37.96,37.68,37.98,37.97,38.00,37.99,38.01,36.39,38.00,38.00,36.43,37.99,37.97,37.97,37.98,38.00,37.96,37.96,37.97,38.00,37.97,37.96,435.8,317.4,271.0,278.0,274.3,273.7,286.4,301.3,276.4,330.5,458.3,499.3,220.7,284.8,288.9,138.6,235.9,153.1,91.4,138.7,258.0,73.4,126.1,243.1,251.8,249.4,253.4,252.6,350.2,285.5,349.0,305.1,360.6,356.6,1.78,1.46,2.08,46.9,0.0,0.00,0.00,0.00,0.00,,
180.0966565,11:42:37,37.96,37.52,37.98,37.96,37.97,37.98,37.97,37.98,37.97,38.00,37.97,37.94,37.96,37.71,37.99,37.97,38.00,37.98,38.01,36.35,38.00,38.01,36.40,37.99,38.00,37.99,37.98,38.00,37.99,38.00,37.98,38.00,37.97,37.97,434.3,319.6,271.8,279.1,274.1,273.8,286.6,302.7,276.8,328.4,457.7,503.9,220.9,283.1,287.8,137.7,235.2,152.6,88.7,138.5,259.8,74.7,122.6,244.6,257.5,248.6,256.2,251.8,346.5,282.5,351.7,306.3,355.3,358.7,1.71,1.43,1.97,47.1,0.0,0.00,0.00,0.00,0.00,,
210.1115026,11:43:07,37.99,37.56,37.99,37.96,37.97,37.99,37.98,37.99,37.99,38.00,37.99,37.96,37.97,37.75,37.98,37.98,38.00,37.99,38.03,36.32,38.00,38.02,36.35,38.00,37.99,38.03,38.01,38.00,37.98,38.00,37.99,37.99,38.01,37.99,430.4,321.5,269.4,279.9,275.0,273.8,284.0,303.5,275.5,327.4,452.3,501.6,221.6,283.6,291.1,139.6,236.2,152.3,88.0,135.2,254.9,75.0,121.7,243.6,252.6,246.4,251.2,251.7,343.3,292.1,351.2,306.5,350.6,353.3,1.66,1.41,1.90,47.2,0.0,0.00,0.00,0.00,0.00,,
240.1553395,11:43:37,37.94,37.62,37.99,37.96,37.98,37.98,37.99,38.00,38.00,38.00,37.99,37.99,37.98,37.80,38.00,37.98,38.00,37.99,38.00,36.28,37.96,38.01,36.30,38.00,38.01,37.99,38.00,37.99,38.02,38.00,37.99,37.98,38.03,38.01,438.5,319.0,270.4,278.0,272.9,273.6,284.1,300.8,275.6,327.4,453.6,498.6,219.6,279.7,288.2,138.3,235.0,152.6,87.2,134.5,255.3,73.4,120.0,243.6,256.5,245.9,249.9,252.7,346.0,288.1,346.5,308.2,354.0,353.4,1.63,1.41,1.84,47.3,0.0,0.00,0.00,0.00,0.00,,
270.1566255,11:44:07,38.00,37.69,38.00,37.98,37.99,37.99,37.99,38.01,38.02,38.02,38.03,38.03,37.99,37.84,38.00,37.99,37.99,37.99,38.00,36.24,38.00,38.00,36.26,37.99,38.00,38.00,38.00,37.99,38.00,37.99,38.03,38.00,38.06,38.02,431.3,318.6,271.0,277.8,272.8,273.5,284.4,300.5,271.6,325.7,448.7,489.7,217.8,280.0,288.9,137.9,237.4,151.8,90.9,134.6,258.8,76.0,118.5,244.1,252.7,247.5,251.4,253.8,342.7,283.9,341.4,305.6,347.5,351.3,1.60,1.39,1.80,47.4,0.0,0.00,0.00,0.00,0.00,,
