[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,14:56:44
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOff_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0181598,14:57:14,35.39,34.98,34.64,34.47,34.63,34.58,34.62,34.67,34.54,34.74,35.21,36.04,34.53,34.78,34.78,34.44,34.48,34.41,34.45,21.22,34.41,34.29,23.75,34.42,34.67,34.70,34.59,34.70,34.59,34.61,34.60,34.66,34.51,34.49,515.3,295.0,290.0,265.4,287.8,271.0,281.1,325.7,274.1,362.5,459.0,501.3,228.0,232.9,297.5,131.1,248.1,248.6,163.3,0.0,321.2,110.3,0.0,297.7,268.3,286.8,279.4,289.0,336.7,219.1,339.0,221.2,337.7,337.7,8.75,8.90,8.58,43.7,0.0,0.00,0.00,0.00,0.00,,
60.0332619,14:57:44,35.40,35.00,34.65,34.47,34.66,34.60,34.63,34.70,34.58,34.78,35.11,35.95,34.54,34.75,34.76,34.43,34.49,34.50,34.46,21.36,34.45,34.29,23.83,34.47,34.63,34.72,34.63,34.74,34.58,34.57,34.59,34.65,34.52,34.52,485.1,271.8,275.9,254.3,266.9,258.6,265.9,305.8,256.5,340.4,445.3,462.2,214.4,219.8,284.1,122.2,232.5,230.8,150.1,0.0,303.2,103.4,0.0,281.6,251.0,272.2,261.2,268.5,320.7,212.2,329.1,207.2,325.1,322.3,8.70,8.86,8.53,43.8,0.0,0.00,0.00,0.00,0.00,,
90.0483887,14:58:14,35.29,34.93,34.64,34.46,34.61,34.58,34.62,34.70,34.53,34.76,35.05,35.65,34.53,34.68,34.75,34.40,34.49,34.54,34.47,21.54,34.47,34.26,23.92,34.48,34.64,34.69,34.63,34.72,34.55,34.53,34.55,34.58,34.54,34.52,469.7,258.7,263.0,244.7,261.4,248.5,254.3,289.4,247.8,325.7,425.2,461.1,204.2,212.7,271.4,116.7,221.5,216.0,143.4,0.0,292.6,99.0,0.0,271.4,237.6,255.4,246.4,255.5,310.0,203.0,322.4,201.6,316.1,311.9,8.64,8.80,8.48,43.7,0.0,0.00,0.00,0.00,0.00,,
120.0624998,14:58:44,35.16,34.86,34.61,34.44,34.56,34.54,34.59,34.67,34.48,34.71,34.93,35.32,34.49,34.60,34.71,34.36,34.46,34.57,34.45,21.68,34.48,34.26,24.00,34.48,34.60,34.68,34.60,34.68,34.52,34.49,34.50,34.53,34.52,34.49,463.0,249.1,254.3,240.0,257.5,239.3,249.2,279.6,246.3,315.7,420.1,480.1,198.9,211.3,259.7,113.2,213.2,205.1,137.5,0.0,281.2,98.3,0.0,259.9,239.7,245.5,238.4,244.2,305.9,196.7,318.7,197.9,301.5,304.2,8.58,8.73,8.43,44.0,0.0,0.00,0.00,0.00,0.00,,
150.077609,14:59:14,35.05,34.78,34.54,34.39,34.51,34.48,34.53,34.60,34.45,34.66,34.80,35.11,34.44,34.53,34.63,34.33,34.40,34.55,34.43,21.80,34.44,34.23,24.08,34.45,34.54,34.59,34.54,34.61,34.46,34.42,34.44,34.47,34.43,34.44,453.6,242.5,248.6,235.9,250.9,235.8,242.4,273.9,238.5,309.4,419.0,484.7,192.7,210.9,256.4,110.7,212.8,196.6,131.5,0.0,276.1,92.8,0.0,252.7,222.8,240.4,235.5,239.0,301.7,197.3,316.0,195.4,306.8,300.3,8.54,8.67,8.39,44.3,0.0,0.00,0.00,0.00,0.00,,
180.0912381,14:59:44,34.93,34.70,34.49,34.36,34.46,34.43,34.49,34.55,34.39,34.60,34.70,34.94,34.40,34.44,34.56,34.29,34.36,34.53,34.39,21.99,34.41,34.21,24.15,34.41,34.44,34.56,34.52,34.55,34.42,34.38,34.39,34.41,34.44,34.41,450.2,238.2,245.9,233.5,248.8,232.5,239.2,268.7,236.3,302.9,417.2,488.1,190.4,212.2,253.3,109.7,209.2,190.3,132.0,0.0,273.6,90.7,0.0,248.4,227.7,238.7,229.2,236.0,295.8,202.4,313.3,193.2,300.4,296.4,8.50,8.62,8.37,44.2,0.0,0.00,0.00,0.00,0.00,,
210.1063586,15:00:14,34.85,34.61,34.44,34.32,34.42,34.38,34.43,34.50,34.35,34.53,34.60,34.77,34.36,34.38,34.50,34.25,34.31,34.50,34.33,22.09,34.38,34.19,24.22,34.38,34.44,34.50,34.44,34.49,34.34,34.32,34.35,34.33,34.34,34.37,445.1,237.7,242.7,231.8,244.5,230.4,235.2,265.6,232.8,301.0,417.8,494.7,187.4,211.2,250.1,109.6,208.8,184.5,124.1,0.0,267.0,89.8,0.0,245.8,221.7,232.2,228.5,231.4,300.9,199.8,311.9,196.4,293.2,295.1,8.49,8.60,8.39,44.1,0.0,0.00,0.00,0.00,0.00,,
240.1219561,15:00:44,34.73,34.54,34.40,34.30,34.37,34.34,34.41,34.45,34.28,34.45,34.53,34.62,34.32,34.33,34.46,34.21,34.30,34.46,34.30,22.24,34.37,34.17,24.29,34.35,34.37,34.40,34.40,34.42,34.37,34.28,34.32,34.28,34.30,34.32,445.9,233.8,240.6,230.4,243.7,227.5,230.6,261.2,235.6,301.1,414.7,502.2,183.9,212.7,246.1,109.9,203.9,180.8,123.4,0.0,264.9,90.3,0.0,242.8,221.3,230.8,222.4,230.9,297.2,192.6,308.1,199.4,290.5,295.5,8.49,8.59,8.40,44.4,0.0,0.00,0.00,0.00,0.00,,
270.1350798,15:01:14,34.67,34.47,34.35,34.26,34.32,34.31,34.36,34.41,34.25,34.40,34.48,34.52,34.28,34.28,34.39,34.19,34.26,34.42,34.29,22.36,34.31,34.15,24.35,34.31,34.31,34.35,34.36,34.37,34.29,34.22,34.26,34.23,34.28,34.27,437.6,232.4,240.5,228.5,240.6,226.2,228.5,258.0,235.2,299.0,412.1,503.0,183.8,212.6,245.1,108.3,204.5,178.0,120.1,0.0,260.8,88.7,0.0,239.9,222.8,227.8,222.2,230.7,292.5,197.5,311.3,200.2,294.7,294.7,8.53,8.62,8.45,44.2,0.0,0.00,0.00,0.00,0.00,,
