[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,13:36:58
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOff_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0251276,13:37:28,33.94,33.23,33.95,33.96,33.97,33.95,33.95,33.97,33.97,33.99,33.91,33.88,33.95,33.53,33.96,33.99,34.00,34.01,33.98,20.98,34.02,34.00,23.65,33.99,33.98,33.98,33.98,33.99,33.97,33.99,33.97,34.00,34.00,33.99,752.0,394.4,389.9,346.7,386.6,348.1,371.5,432.9,366.0,463.9,735.5,912.8,314.1,329.2,405.7,199.4,326.2,284.9,236.9,0.0,357.0,150.9,0.0,341.0,373.0,389.3,366.9,389.7,434.8,321.4,435.0,328.6,398.2,404.0,9.03,9.06,8.96,42.7,0.0,0.00,0.00,0.00,0.00,,
60.0402071,13:37:58,33.96,33.24,33.95,33.96,33.95,33.94,33.95,33.98,33.97,33.98,33.92,33.91,33.94,33.49,33.95,33.99,33.98,34.00,33.96,20.97,34.00,34.00,23.66,33.98,33.99,33.95,33.98,33.96,33.97,34.00,33.96,33.98,33.98,33.99,751.8,409.9,392.3,348.7,388.0,352.1,373.5,431.9,367.3,464.7,736.8,908.6,315.7,342.4,408.1,197.9,327.6,287.2,233.6,0.0,356.2,153.0,0.0,343.7,371.7,392.2,369.7,394.2,433.9,320.6,435.7,329.2,397.3,403.9,8.91,8.98,8.82,42.7,0.0,0.00,0.00,0.00,0.00,,
90.0548528,13:38:28,33.91,33.24,33.93,33.95,33.95,33.93,33.93,33.96,33.96,33.97,33.90,33.88,33.94,33.53,33.93,33.98,33.97,33.96,33.95,20.97,33.97,33.99,23.63,33.97,34.00,33.97,33.95,33.96,33.96,33.98,33.96,33.99,34.00,33.96,754.8,423.7,393.4,350.2,390.7,353.5,376.9,433.2,369.9,467.2,742.3,915.2,318.5,350.5,412.1,199.6,330.8,289.0,237.5,0.0,355.7,151.4,0.0,344.4,370.5,393.8,373.4,396.5,436.9,324.3,438.3,328.5,397.1,405.4,8.80,8.92,8.66,42.8,0.0,0.00,0.00,0.00,0.00,,
120.0679675,13:38:58,33.90,33.29,33.91,33.94,33.92,33.92,33.93,33.96,33.95,33.94,33.91,33.86,33.93,33.57,33.93,33.97,33.97,33.97,33.98,20.95,33.96,33.98,23.62,33.96,33.93,33.94,33.94,33.95,33.93,33.94,33.93,33.98,33.99,33.97,757.7,432.5,396.4,352.0,394.1,356.1,378.7,433.8,371.9,470.4,743.1,920.4,320.9,352.0,415.2,203.9,330.4,288.4,236.6,0.0,359.7,155.2,0.0,345.3,376.0,395.0,375.5,398.0,442.5,327.6,440.8,329.5,402.4,407.6,8.70,8.84,8.53,43.0,0.0,0.00,0.00,0.00,0.00,,
150.0825592,13:39:28,33.88,33.35,33.93,33.94,33.94,33.92,33.93,33.95,33.93,33.93,33.90,33.81,33.92,33.62,33.93,33.95,33.96,33.96,33.97,20.93,33.94,33.98,23.61,33.96,33.95,33.94,33.97,33.94,33.97,33.94,33.95,33.97,33.93,33.96,757.1,438.9,396.7,352.9,394.6,358.9,380.2,435.9,375.7,474.2,748.1,935.7,323.3,354.8,413.4,207.9,332.0,290.5,240.2,0.0,359.4,155.3,0.0,346.2,375.3,398.7,376.1,399.5,441.6,325.0,440.1,332.0,403.5,407.0,8.61,8.78,8.42,43.1,0.0,0.00,0.00,0.00,0.00,,
180.107218,13:39:58,33.92,33.41,33.94,33.94,33.94,33.93,33.94,33.96,33.93,33.93,33.93,33.79,33.94,33.64,33.94,33.97,33.97,33.96,33.96,20.90,33.94,33.97,23.59,33.96,33.95,33.93,33.97,33.95,33.97,33.95,33.95,33.98,33.94,33.98,751.4,441.7,397.6,353.6,396.4,359.2,381.4,436.2,374.6,475.2,743.5,941.8,324.0,359.4,412.6,207.8,332.6,294.4,243.7,0.0,360.8,155.1,0.0,347.2,379.5,402.5,375.2,399.8,441.1,329.1,440.6,334.1,407.4,407.6,8.56,8.74,8.37,43.2,0.0,0.00,0.00,0.00,0.00,,
210.1158199,13:40:28,33.93,33.47,33.95,33.96,33.95,33.93,33.95,33.98,33.95,33.94,33.96,33.82,33.94,33.69,33.96,33.97,33.97,33.92,33.97,20.89,33.99,33.98,23.58,33.96,33.94,33.96,33.96,33.96,33.98,33.97,33.96,33.97,33.98,33.95,752.8,444.4,398.0,353.5,395.8,360.1,380.9,432.6,374.9,475.6,741.0,940.7,324.0,359.7,414.5,204.4,332.5,293.2,246.3,0.0,361.9,156.9,0.0,347.8,376.4,398.4,376.3,400.1,437.7,325.4,440.3,333.3,408.1,412.8,8.56,8.74,8.39,43.1,0.0,0.00,0.00,0.00,0.00,,
240.1374264,13:40:58,33.94,33.54,33.96,33.97,33.96,33.96,33.96,33.99,33.95,33.95,33.96,33.84,33.96,33.76,33.98,33.98,33.97,33.93,33.98,20.91,33.95,33.97,23.59,33.96,33.95,33.98,33.97,33.98,33.99,33.96,33.96,33.98,33.95,33.96,755.7,446.2,397.1,352.2,395.2,358.9,379.6,430.6,376.7,474.5,742.3,942.5,321.5,356.7,412.5,202.2,332.8,295.9,241.6,0.0,362.8,157.9,0.0,348.1,379.6,397.7,377.5,397.7,435.9,328.7,440.4,333.6,408.0,412.6,8.58,8.75,8.42,43.0,0.0,0.00,0.00,0.00,0.00,,
270.1401225,13:41:28,33.97,33.61,33.97,33.98,33.97,33.97,33.97,34.00,33.98,33.97,33.98,33.90,33.97,33.79,34.00,33.97,33.99,33.93,33.96,20.88,33.97,33.98,23.58,33.97,33.96,33.98,33.99,33.99,34.00,33.99,33.98,34.00,33.99,33.97,752.4,443.8,394.6,353.3,392.0,356.3,379.3,430.9,374.4,472.8,740.5,936.5,321.5,357.3,409.1,206.5,331.0,294.6,241.0,0.0,361.5,157.0,0.0,347.7,374.0,397.5,374.5,397.8,435.8,320.8,438.9,333.4,407.0,413.0,8.64,8.81,8.48,42.9,0.0,0.00,0.00,0.00,0.00,,
