[Test Data]
Format 2
Experiment Type:,dry
Test Date:,31/10/2018,10:49:37
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOn_Wind0.3 (run with new conditions).csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0144546,10:50:07,37.84,37.61,38.05,38.03,38.04,38.05,38.05,38.00,38.04,38.02,38.06,38.09,38.04,38.23,38.03,38.01,38.01,38.00,38.05,36.70,38.03,37.99,36.69,38.02,37.99,37.97,38.01,38.02,37.99,38.00,38.02,38.02,38.00,38.01,425.1,186.3,268.0,278.1,270.3,269.5,280.9,293.9,270.1,326.4,448.1,484.3,215.8,213.9,288.2,140.6,237.6,161.8,88.7,203.2,259.7,77.6,187.7,244.6,255.6,241.3,242.5,247.6,354.8,290.8,356.1,301.7,357.9,353.3,1.41,1.23,1.61,47.7,0.0,0.00,0.00,0.00,0.00,,
60.029362,10:50:37,37.85,37.69,38.05,38.03,38.04,38.05,38.06,38.00,38.05,38.01,38.10,38.09,38.04,38.29,38.01,38.02,38.01,38.02,37.98,36.79,38.01,38.01,36.77,38.01,38.00,38.01,38.01,38.02,38.03,38.05,38.03,37.99,37.99,38.02,430.6,181.4,263.2,278.5,266.7,269.8,279.1,293.4,267.6,329.1,440.2,484.7,215.1,199.3,289.9,137.3,236.4,162.6,87.6,181.2,261.9,77.1,158.8,244.2,251.1,242.3,245.7,249.4,349.9,286.9,356.0,302.2,359.8,352.1,1.50,1.24,1.78,47.7,0.0,0.00,0.00,0.00,0.00,,
90.0437293,10:51:07,37.84,37.75,38.06,38.05,38.03,38.05,38.06,38.02,38.04,38.01,38.08,38.08,38.05,38.30,38.01,38.02,38.01,38.03,38.02,36.82,38.02,38.01,36.77,38.01,38.00,38.03,38.03,38.01,38.05,38.04,38.04,38.01,38.01,38.03,433.6,179.1,263.4,276.7,268.4,269.6,277.5,292.6,263.7,328.6,438.8,480.3,213.6,192.4,290.9,137.0,236.4,161.4,87.6,159.6,259.2,77.2,138.8,243.0,251.1,244.8,248.1,249.6,345.6,291.4,351.5,303.6,354.7,351.6,1.60,1.27,1.95,47.7,0.0,0.00,0.00,0.00,0.00,,
120.0600919,10:51:37,37.88,37.80,38.05,38.04,38.04,38.05,38.05,38.01,38.04,38.01,38.07,38.07,38.06,38.27,38.02,38.03,38.01,38.04,38.04,36.75,37.99,38.00,36.72,38.02,37.99,37.98,38.02,38.00,38.04,38.00,38.03,38.01,38.05,38.03,433.9,175.1,263.7,276.9,268.3,268.8,276.3,292.6,264.6,328.3,439.8,481.3,210.5,188.2,289.0,137.0,238.2,159.6,87.7,145.4,264.4,76.3,128.7,244.3,247.6,247.0,245.0,251.4,346.0,286.5,352.4,300.6,347.5,348.8,1.70,1.30,2.11,47.6,0.0,0.00,0.00,0.00,0.00,,
150.0749309,10:52:07,37.87,37.84,38.04,38.04,38.02,38.04,38.06,38.01,38.02,38.00,38.05,38.01,38.04,38.25,38.00,38.03,38.01,38.04,38.00,36.68,38.00,38.01,36.64,38.02,37.99,38.01,38.01,38.00,38.03,37.99,38.04,38.01,38.00,38.01,438.5,174.8,263.4,275.6,268.8,268.0,273.3,293.3,266.0,329.3,438.9,486.8,210.1,184.4,287.9,135.9,235.2,158.4,85.5,137.3,264.4,75.6,120.8,243.4,252.7,244.8,247.0,251.3,349.7,283.7,350.1,300.2,354.2,350.5,1.77,1.32,2.24,47.6,0.0,0.00,0.00,0.00,0.00,,
180.0883172,10:52:37,37.92,37.87,38.03,38.03,38.01,38.03,38.03,38.01,38.02,37.99,38.04,37.97,38.04,38.23,38.02,38.01,38.00,38.04,37.99,36.62,38.00,37.99,36.59,38.02,38.01,37.98,38.02,38.00,38.03,38.01,38.00,38.01,38.00,37.99,434.7,173.6,263.3,277.3,269.6,268.9,275.7,293.4,267.2,330.1,437.0,490.3,210.8,184.0,287.2,137.6,239.1,157.1,90.4,135.8,262.3,78.8,115.0,242.3,251.6,244.5,245.5,251.7,342.5,287.4,351.3,300.1,358.8,353.4,1.83,1.33,2.34,47.4,0.0,0.00,0.00,0.00,0.00,,
210.1042119,10:53:07,37.94,37.88,38.04,38.03,38.02,38.04,38.04,38.00,38.02,38.01,38.05,37.99,38.04,38.18,38.03,38.03,38.01,38.03,38.05,36.56,38.01,37.99,36.50,38.02,38.00,38.01,38.00,38.00,38.01,37.99,38.04,38.01,38.02,38.01,432.5,175.0,263.0,277.5,270.6,268.5,275.8,293.5,267.0,326.1,437.0,489.3,210.6,184.6,286.7,134.5,237.6,158.4,90.0,131.2,261.5,77.3,114.0,242.4,253.1,244.4,244.0,251.1,344.0,288.1,349.2,299.0,354.0,351.1,1.88,1.33,2.43,47.4,0.0,0.00,0.00,0.00,0.00,,
240.1185589,10:53:37,37.95,37.91,38.04,38.01,38.03,38.01,38.04,38.02,38.02,38.00,38.05,38.03,38.03,38.14,37.99,38.02,38.00,38.04,38.02,36.45,38.00,38.00,36.44,38.02,38.00,37.99,37.98,38.02,38.04,38.03,38.03,37.99,38.01,38.03,434.2,173.5,262.6,277.8,266.1,272.0,273.9,292.5,265.9,330.3,435.9,484.4,210.6,186.5,288.8,135.6,237.2,155.6,89.0,133.3,260.4,77.7,113.3,243.0,252.1,241.0,248.6,251.3,351.5,286.5,350.2,300.3,351.0,347.9,1.91,1.33,2.50,47.5,0.0,0.00,0.00,0.00,0.00,,
270.1329273,10:54:07,37.96,37.94,38.03,38.02,38.03,38.00,38.04,38.01,38.02,38.00,38.02,38.05,38.02,38.12,37.99,38.01,38.01,38.03,38.01,36.43,38.01,38.00,36.37,38.01,37.99,37.97,37.99,38.00,38.03,38.00,38.02,38.00,38.05,38.03,432.1,170.8,262.7,276.1,265.7,272.9,273.5,292.9,264.0,327.5,439.1,476.5,212.6,185.6,291.4,136.1,236.2,156.5,85.5,132.5,265.7,77.3,113.5,242.7,252.5,247.8,248.6,251.5,339.0,287.5,349.3,299.7,346.1,348.4,1.95,1.36,2.56,47.5,0.0,0.00,0.00,0.00,0.00,,
