[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,11:57:36
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOn_Wind1.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0061434,11:58:06,34.05,34.76,34.05,34.03,34.05,34.05,34.04,33.99,34.02,34.01,34.06,34.09,34.06,34.50,34.04,34.02,34.02,34.01,34.02,25.31,34.02,34.02,25.75,34.01,34.02,34.03,34.01,34.02,34.03,34.00,34.03,34.01,34.02,34.03,436.1,117.6,242.7,239.3,243.7,224.9,221.5,264.4,240.1,298.7,403.2,490.4,194.1,134.2,258.1,114.4,193.4,162.4,111.1,0.0,245.9,85.8,0.0,229.0,234.8,227.6,224.6,229.4,294.1,205.5,303.4,206.9,297.5,301.4,9.26,9.21,9.33,44.0,0.0,0.00,0.00,0.00,0.00,,
60.0197261,11:58:36,34.03,34.75,34.05,34.03,34.04,34.05,34.04,34.01,34.03,34.02,34.07,34.06,34.04,34.49,34.05,34.05,34.00,34.01,33.95,25.33,34.01,34.00,25.75,34.01,34.04,34.02,34.03,34.02,34.04,34.03,34.04,34.04,34.01,34.01,435.8,102.9,242.3,237.3,242.1,224.5,222.1,262.6,238.7,298.4,398.4,494.7,193.0,124.5,257.3,107.1,193.6,160.7,112.5,0.0,245.4,85.8,0.0,228.6,228.0,227.8,225.2,228.6,297.1,201.2,306.8,201.8,301.5,304.3,9.34,9.24,9.46,44.4,0.0,0.00,0.00,0.00,0.00,,
90.0358079,11:59:06,34.08,34.70,34.06,34.04,34.04,34.05,34.06,34.01,34.01,34.00,34.07,33.98,34.07,34.39,34.07,34.03,34.01,34.03,34.02,25.32,34.02,33.99,25.77,34.01,34.00,34.03,34.01,34.03,34.05,34.04,34.03,34.01,33.99,34.01,429.5,94.3,239.3,236.5,242.0,222.4,219.8,261.7,241.2,299.3,395.2,505.2,190.1,125.5,254.6,107.9,192.9,160.4,111.8,0.0,245.0,84.0,0.0,228.5,235.0,226.2,224.3,227.2,297.9,199.9,305.0,205.0,301.0,304.8,9.42,9.27,9.59,43.9,0.0,0.00,0.00,0.00,0.00,,
120.0499048,11:59:36,34.07,34.63,34.05,34.04,34.05,34.05,34.07,34.03,34.01,34.00,34.09,33.99,34.07,34.36,34.06,34.01,34.01,34.03,34.00,25.33,34.04,33.98,25.77,34.01,34.04,34.03,34.02,34.02,34.04,34.01,34.03,34.01,34.04,34.02,426.7,90.2,239.5,235.0,239.7,221.3,216.2,260.1,240.7,299.9,391.5,508.9,187.9,125.1,254.5,108.5,191.7,159.7,113.5,0.0,245.7,86.5,0.0,228.2,233.8,229.7,223.3,226.1,295.3,198.9,304.5,204.4,297.8,304.1,9.50,9.32,9.69,44.2,0.0,0.00,0.00,0.00,0.00,,
150.0655227,12:00:06,34.06,34.59,34.05,34.04,34.03,34.05,34.04,34.02,34.02,34.01,34.06,34.00,34.06,34.32,34.06,34.02,34.01,34.03,34.00,25.36,34.01,34.02,25.77,34.02,34.03,34.04,34.02,34.04,34.00,34.02,34.04,34.00,34.04,34.02,427.1,81.2,236.8,233.4,238.1,221.4,218.7,260.2,241.4,298.6,392.8,502.4,188.5,124.3,252.7,106.6,191.9,159.4,113.3,0.0,244.5,83.6,0.0,228.3,225.6,225.8,223.5,224.3,291.7,203.3,304.5,203.5,294.0,301.5,9.57,9.36,9.79,44.1,0.0,0.00,0.00,0.00,0.00,,
180.0791112,12:00:36,34.05,34.52,34.05,34.05,34.02,34.05,34.05,34.02,34.02,34.01,34.06,33.99,34.05,34.29,34.05,34.02,34.02,34.03,34.01,25.37,34.03,34.01,25.79,34.01,34.01,34.03,34.01,34.04,34.01,34.01,34.03,34.01,34.00,34.01,425.0,76.7,237.0,233.4,239.8,219.1,216.7,260.2,240.2,297.5,394.0,503.9,188.3,119.9,253.6,107.7,192.7,159.1,114.7,0.0,241.6,82.9,0.0,226.9,235.0,222.5,224.4,224.1,290.9,200.8,302.6,201.9,298.3,302.8,9.63,9.38,9.87,44.1,0.0,0.00,0.00,0.00,0.00,,
210.0936988,12:01:06,34.05,34.46,34.05,34.03,34.02,34.05,34.03,34.03,34.02,34.01,34.06,34.04,34.03,34.26,34.02,34.03,34.01,34.04,34.01,25.38,34.02,34.01,25.80,34.02,33.97,34.02,34.01,34.03,33.99,34.03,34.03,34.01,34.03,34.01,426.0,75.2,237.2,234.8,239.8,220.9,217.8,258.8,240.9,298.3,388.6,496.4,188.8,122.1,255.1,105.8,192.4,158.0,115.1,0.0,241.7,84.0,0.0,226.4,226.9,227.5,224.2,225.0,295.9,201.5,303.7,202.3,294.6,303.2,9.66,9.40,9.93,43.7,0.0,0.00,0.00,0.00,0.00,,
240.1102801,12:01:36,34.02,34.39,34.02,34.01,34.02,34.05,34.01,34.01,34.04,34.04,34.01,34.07,34.01,34.23,33.98,34.06,34.01,34.03,34.02,25.37,34.03,34.02,25.80,34.02,34.05,33.99,33.99,34.01,34.01,34.04,34.00,34.03,34.03,34.02,428.3,76.3,240.4,235.0,238.9,219.3,219.9,261.4,235.9,293.3,393.6,484.3,194.1,118.7,261.1,105.7,193.2,156.4,111.4,0.0,241.8,82.2,0.0,225.7,225.9,228.9,226.6,225.5,295.6,199.3,304.4,199.2,294.0,302.2,9.68,9.40,9.96,43.7,0.0,0.00,0.00,0.00,0.00,,
270.1233771,12:02:06,34.02,34.34,34.00,34.00,34.03,34.03,34.00,33.99,34.04,34.03,34.00,34.10,34.01,34.19,33.97,34.03,34.00,34.03,34.06,25.40,34.00,34.01,25.80,34.02,34.00,33.99,34.01,34.00,33.99,34.01,34.01,34.03,34.04,34.02,428.2,74.9,241.9,237.4,237.6,219.3,223.1,263.8,234.7,293.7,400.0,478.0,193.0,117.7,262.5,104.4,195.0,156.3,108.0,0.0,243.1,80.5,0.0,226.0,230.0,228.4,226.0,227.1,297.3,198.4,305.4,198.4,294.1,303.2,9.69,9.41,9.97,43.8,0.0,0.00,0.00,0.00,0.00,,
