[Test Data]
Format 2
Experiment Type:,dry
Test Date:,29/10/2018,12:49:33
Logging Interval (min),0.5
Datafile:,C:\Users\newton\Documents\2018 Newton test data\Tina hair\Round 3\NoWig_RadOn_Wind2_5.csv
Comments:,


Device Name,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,All Zones,trousers,trunk,trunk and arms,arms,head
RCT0,degC.m2/W,0.074,0.065,0.080,0.058,0.079,0.052,0.082,0.053,0.087,0.050,0.050,0.049,0.095,0.090,0.087,0.069,0.092,0.053,0.090,0.248,0.068,0.087,0.222,0.064,0.064,0.048,0.064,0.049,0.061,0.044,0.059,0.043,0.051,0.048,,,,,,,
fcl,m2/m2,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.00,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,1.22,,,,,,,
Surface Area,m2,0.0489,0.0978,0.0505,0.0311,0.0505,0.0311,0.0385,0.0263,0.0385,0.0263,0.0439,0.0439,0.0905,0.0809,0.1019,0.0634,0.0471,0.0494,0.0396,0.0335,0.0247,0.0396,0.0335,0.0247,0.1122,0.0535,0.1122,0.0535,0.0820,0.0537,0.0820,0.0537,0.0595,0.0595,,,,,,,
Parallel RCT0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,NaN,NaN,NaN,NaN,NaN,
Region fcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,NaN,NaN,NaN,NaN,NaN,

,,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Face,Head,R Up Arm Fr,R Up Arm Bk,L Up Arm Fr,L Up Arm Bk,R Forearm Fr,R Forearm Bk,L Forearm Fr,L Forearm Bk,R Hand,L Hand,Upper Chest,Shoulders,Stomach,Mid Back,Waist,Lower Back,R Up Thigh Fr,R Up Thigh Grd,R Up Thigh Bk,L Up Thigh Fr,L Up Thigh Grd,L Up Thigh Bk,R Lwr Thigh Fr,R Lwr Thigh Bk,L Lwr Thigh Fr,L Lwr Thigh Bk,R Calf Fr,R Calf Bk,L Calf Fr,L Calf Bk,R Foot,L Foot,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient,Ambient
Time,Clock,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Average Surface Temp,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Heat Flux Generated,Avg Amb Temp,Amb 1,Amb 2,RH,Avg Walking Speed,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,EventText,SystemEventText
Seconds,,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,degC,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,degC,degC,degC,%RH,dspm,V,V,V,V
30.0226851,12:50:03,32.80,33.10,33.42,33.56,33.41,33.45,33.46,33.41,33.48,33.29,32.96,32.16,33.54,33.28,33.32,33.61,33.57,33.61,33.59,25.11,33.61,33.74,25.97,33.62,33.43,33.39,33.45,33.38,33.51,33.45,33.48,33.43,33.53,33.56,665.3,219.9,336.7,303.4,338.6,303.3,319.1,360.5,318.3,389.3,659.8,833.5,273.8,239.6,370.4,175.1,275.5,201.1,174.2,0.0,293.7,125.1,0.0,280.3,320.8,332.0,308.0,332.8,388.9,297.4,396.0,296.3,359.5,368.3,9.74,9.56,9.93,42.3,0.0,0.00,0.00,0.00,0.00,,
60.0392853,12:50:33,32.83,33.15,33.41,33.56,33.43,33.44,33.45,33.36,33.49,33.27,33.02,32.37,33.52,33.32,33.32,33.62,33.57,33.53,33.58,24.92,33.58,33.75,25.84,33.59,33.43,33.34,33.45,33.34,33.48,33.46,33.51,33.46,33.56,33.56,688.8,233.5,349.0,314.1,352.1,317.4,330.3,379.2,328.7,407.8,675.1,845.1,284.5,249.0,383.4,177.3,285.0,216.9,189.2,0.0,305.8,130.6,0.0,291.8,329.5,343.0,321.4,349.5,397.5,313.5,403.2,304.7,369.3,380.1,9.82,9.66,10.00,42.0,0.0,0.00,0.00,0.00,0.00,,
90.052386,12:51:03,32.89,33.16,33.43,33.56,33.46,33.45,33.47,33.38,33.50,33.26,33.13,32.57,33.54,33.37,33.36,33.61,33.57,33.48,33.57,24.75,33.57,33.76,25.74,33.59,33.44,33.38,33.46,33.38,33.50,33.51,33.53,33.51,33.53,33.57,696.9,247.0,359.7,321.9,359.7,325.7,337.6,390.1,336.9,422.1,683.4,846.1,288.3,256.7,393.0,188.4,295.8,229.7,200.3,0.0,315.3,135.2,0.0,299.6,338.9,356.7,332.5,362.3,412.7,318.9,410.0,310.3,382.9,392.3,9.91,9.77,10.06,41.8,0.0,0.00,0.00,0.00,0.00,,
120.0665146,12:51:33,32.96,33.24,33.46,33.59,33.49,33.48,33.50,33.40,33.55,33.32,33.22,32.80,33.55,33.44,33.39,33.67,33.59,33.46,33.62,24.55,33.58,33.78,25.64,33.59,33.49,33.39,33.46,33.41,33.57,33.55,33.56,33.55,33.55,33.58,702.9,255.4,368.1,326.9,365.0,332.7,344.9,399.6,338.8,431.7,688.8,841.2,297.7,258.4,402.2,189.2,301.4,240.6,204.3,0.0,322.9,137.0,0.0,307.1,345.2,360.4,342.3,370.5,408.9,322.3,417.3,315.7,385.2,396.5,9.96,9.86,10.08,41.5,0.0,0.00,0.00,0.00,0.00,,
150.0821284,12:52:03,33.08,33.32,33.51,33.63,33.54,33.54,33.54,33.45,33.58,33.36,33.30,32.97,33.60,33.49,33.45,33.70,33.62,33.44,33.60,24.38,33.60,33.78,25.54,33.62,33.52,33.44,33.50,33.45,33.60,33.59,33.61,33.59,33.61,33.61,706.1,258.6,372.5,331.5,367.9,337.5,348.9,405.6,343.3,440.3,693.0,841.2,301.1,261.3,405.5,193.5,306.3,250.0,208.5,0.0,333.4,140.4,0.0,312.6,350.5,369.8,349.1,375.8,416.3,324.9,419.8,316.8,385.2,401.7,9.98,9.90,10.08,41.3,0.0,0.00,0.00,0.00,0.00,,
180.0962583,12:52:33,33.17,33.40,33.56,33.66,33.58,33.58,33.59,33.51,33.62,33.41,33.40,33.11,33.64,33.54,33.51,33.73,33.67,33.50,33.64,24.22,33.66,33.80,25.45,33.64,33.55,33.51,33.53,33.50,33.61,33.64,33.64,33.64,33.60,33.63,711.8,261.2,376.0,333.5,371.6,341.1,351.5,409.7,346.4,446.1,693.9,843.4,303.7,263.8,408.7,194.6,308.6,256.6,215.8,0.0,332.0,142.9,0.0,316.5,352.9,368.5,353.9,380.8,423.9,327.5,425.3,319.3,393.8,406.8,9.99,9.92,10.06,41.3,0.0,0.00,0.00,0.00,0.00,,
210.1123648,12:53:03,33.26,33.45,33.60,33.68,33.61,33.62,33.62,33.55,33.65,33.46,33.45,33.19,33.68,33.62,33.55,33.74,33.69,33.50,33.68,24.06,33.65,33.83,25.35,33.67,33.59,33.54,33.58,33.54,33.66,33.70,33.66,33.69,33.67,33.66,713.7,265.8,378.7,336.0,376.3,343.6,355.8,411.9,349.5,450.9,698.6,849.6,305.6,264.2,410.3,197.1,310.5,263.6,218.3,0.0,333.2,143.5,0.0,320.3,359.0,376.0,357.0,383.3,428.4,327.3,428.3,319.4,398.5,409.8,9.96,9.89,10.02,41.4,0.0,0.00,0.00,0.00,0.00,,
240.1254802,12:53:33,33.34,33.52,33.64,33.71,33.65,33.66,33.65,33.58,33.68,33.51,33.49,33.27,33.71,33.66,33.59,33.79,33.72,33.56,33.70,23.89,33.68,33.84,25.26,33.68,33.64,33.62,33.63,33.58,33.64,33.71,33.71,33.73,33.68,33.70,720.2,267.9,382.0,337.7,377.1,345.1,359.5,418.2,351.4,454.1,704.6,854.9,307.3,261.9,413.8,195.9,313.9,263.4,223.8,0.0,342.2,144.2,0.0,325.3,357.2,373.5,358.6,388.2,434.5,322.3,427.8,321.6,397.0,410.1,9.91,9.87,9.93,41.7,0.0,0.00,0.00,0.00,0.00,,
270.1406292,12:54:03,33.39,33.58,33.68,33.75,33.70,33.69,33.69,33.62,33.73,33.57,33.56,33.38,33.75,33.70,33.64,33.78,33.75,33.59,33.73,23.75,33.70,33.86,25.17,33.70,33.65,33.62,33.65,33.63,33.70,33.74,33.72,33.76,33.68,33.73,724.3,267.6,383.6,338.0,377.6,348.4,361.2,419.8,353.0,457.4,708.5,858.3,308.8,268.5,413.0,198.7,316.3,270.3,225.8,0.0,343.0,145.4,0.0,328.3,357.5,377.6,363.9,389.8,435.2,331.6,431.8,322.1,399.9,411.3,9.84,9.83,9.83,41.8,0.0,0.00,0.00,0.00,0.00,,
