wig,wind,wet_dry,trial,influx,off,on
no hair,0.3,dry,1,175.2,44.24778761061947,-130.95221238938052
no hair,0.3,dry,2,168.2,44.64285714285714,-123.55714285714285
no hair,0.3,dry,3,176.1,44.64285714285714,-131.45714285714286
no hair,1,dry,1,176,50.505050505050505,-125.4949494949495
no hair,1,dry,2,162.3,49.5049504950495,-112.79504950495051
no hair,1,dry,3,171.10000000000002,49.5049504950495,-121.59504950495052
no hair,2.5,dry,1,152.90000000000003,86.20689655172413,-66.6931034482759
no hair,2.5,dry,2,169.2,89.28571428571428,-79.91428571428571
no hair,2.5,dry,3,158.40000000000003,86.20689655172413,-72.1931034482759
straight,0.3,dry,1,62.6,11.904761904761905,-50.695238095238096
straight,0.3,dry,2,66.3,11.933174224343675,-54.366825775656324
straight,0.3,dry,3,60.3,11.848341232227488,-48.45165876777251
straight,1,dry,1,64.2,19.157088122605362,-45.042911877394644
straight,1,dry,2,65.1,18.51851851851852,-46.581481481481475
straight,1,dry,3,66.8,18.587360594795538,-48.212639405204456
straight,2.5,dry,1,44.099999999999994,31.446540880503143,-12.653459119496851
straight,2.5,dry,2,46.20000000000002,28.901734104046245,-17.298265895953772
straight,2.5,dry,3,42.2,28.40909090909091,-13.790909090909093
curled,0.3,dry,1,36.39999999999999,10.482180293501049,-25.917819706498943
curled,0.3,dry,2,42.00000000000001,11.682242990654206,-30.3177570093458
curled,0.3,dry,3,44.10000000000001,11.52073732718894,-32.57926267281107
curled,1,dry,1,36.8,18.38235294117647,-18.417647058823526
curled,1,dry,2,38.8,17.482517482517483,-21.317482517482514
curled,1,dry,3,33.00000000000001,16.949152542372882,-16.050847457627125
curled,2.5,dry,1,34.10000000000001,31.84713375796178,-2.252866242038227
curled,2.5,dry,2,31.900000000000006,30.12048192771084,-1.7795180722891644
curled,2.5,dry,3,21.799999999999983,28.73563218390805,6.935632183908066
tightly curled,0.3,dry,1,13.5,13.333333333333334,-0.16666666666666607
tightly curled,0.3,dry,2,23.80000000000001,15.527950310559007,-8.272049689441005
tightly curled,0.3,dry,3,19.5,15.337423312883436,-4.162576687116564
tightly curled,1,dry,1,19.099999999999994,19.157088122605362,0.057088122605367886
tightly curled,1,dry,2,17.799999999999997,18.867924528301884,1.0679245283018872
tightly curled,1,dry,3,15.600000000000009,17.79359430604982,2.1935943060498104
tightly curled,2.5,dry,1,9.900000000000006,33.78378378378378,23.883783783783777
tightly curled,2.5,dry,2,11.5,32.6797385620915,21.1797385620915
tightly curled,2.5,dry,3,10.400000000000006,32.25806451612903,21.858064516129026
no hair,0.3,wet,1,61.900000000000006,152.8,90.9
no hair,0.3,wet,2,64.7,151.4,86.7
no hair,1,wet,1,27.19999999999999,254.5,227.3
no hair,2.5,wet,1,11.800000000000011,288.2,276.4
no hair,2.5,wet,2,17.099999999999966,289.4,272.3
straight,0.3,wet,1,41.099999999999994,71.1,30
straight,0.3,wet,2,36.199999999999996,63.8,27.6
straight,1,wet,1,29.799999999999997,103.1,73.3
straight,1,wet,2,21.89999999999999,102.8,80.9
straight,2.5,wet,1,11.900000000000006,149.4,137.5
straight,2.5,wet,2,26.099999999999994,163.5,137.4
curled,0.3,wet,1,33.8,60.4,26.6
curled,0.3,wet,2,32.900000000000006,54.6,21.7
curled,1,wet,1,26.400000000000006,90.4,64
curled,1,wet,2,21.799999999999997,89.8,68
curled,2.5,wet,1,5,138.1,133.1
curled,2.5,wet,2,11.899999999999977,141.7,129.8
tightly curled,0.3,wet,1,44.099999999999994,60.4,16.3
tightly curled,0.3,wet,2,39.7,56.2,16.5
tightly curled,1,wet,1,24.199999999999996,79.8,55.6
tightly curled,1,wet,2,22.5,75.5,53
tightly curled,2.5,wet,2,18.799999999999997,128.5,109.7
